Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.537369,82.6042,0.329431,89.5833
2,0.236428,92.7083,0.239614,92
3,0.159152,95.0417,0.221829,92.1667
4,0.114028,96.3542,0.226466,92.8333
5,0.0741676,97.6875,0.219483,93.3333
6,0.0464702,98.5625,0.275444,92.4167
7,0.0268234,99.1458,0.262714,93.4167
8,0.0162843,99.6667,0.282924,93.5833
9,0.00801672,99.875,0.298209,93.3333
10,0.0044427,99.9792,0.309687,93.4167
11,0.00265963,100,0.318529,93.4167
12,0.001862,100,0.324672,93.5
13,0.00144116,100,0.337359,93.5
14,0.00112486,100,0.342824,93.6667
15,0.000937731,100,0.346602,93.5
16,0.000782412,100,0.352649,93.75
17,0.000681468,100,0.358619,93.5
18,0.000599024,100,0.362719,93.5833
19,0.000535671,100,0.365452,93.75
20,0.00048836,100,0.367506,93.6667
21,0.000442085,100,0.372453,93.6667
22,0.000405371,100,0.372755,93.5833
23,0.000372435,100,0.375332,93.5833
24,0.000343558,100,0.378255,93.5833
25,0.00032181,100,0.379865,93.5833
26,0.000301646,100,0.382513,93.5833
27,0.000282984,100,0.384803,93.5833
28,0.000267657,100,0.385769,93.5833
29,0.00025223,100,0.387442,93.5833
30,0.000238816,100,0.389658,93.5833
